_id,sessionId,customerId,merchantId,eventType,productId,productIds[0],productIds[1],productIds[2],productIds[3],cartTotal,recoveryStatus,createdAt,__v,cartItems[0].productId,cartItems[1].productId,cartItems[2].productId,cartItems[3].productId,cartItems[0].name,cartItems[1].name,cartItems[2].name,cartItems[3].name,cartItems[0].quantity,cartItems[1].quantity,cartItems[2].quantity,cartItems[3].quantity,cartItems[0].price,cartItems[1].price,cartItems[2].price,cartItems[3].price,cartItems[0]._id,cartItems[1]._id,cartItems[2]._id,cartItems[3]._id,abandonmentReason
6a79b1865e74060a157e6a8c,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,,wishlist_viewed,,6a71c3bb6066bd8f2f847f38,6a777916b31338dbaaaf79bf,6a71c15a6066bd8f2f847d8b,6a71c0dc6066bd8f2f847d6f,0,pending,2026-08-10T11:09:58.450Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1865e74060a157e6a92,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,,wishlist_viewed,,6a71c3bb6066bd8f2f847f38,6a777916b31338dbaaaf79bf,6a71c15a6066bd8f2f847d8b,6a71c0dc6066bd8f2f847d6f,0,pending,2026-08-10T11:09:58.475Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1865e74060a157e6a9d,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,,wishlist_viewed,,6a777916b31338dbaaaf79bf,6a71c15a6066bd8f2f847d8b,6a71c0dc6066bd8f2f847d6f,,0,pending,2026-08-10T11:09:58.531Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1865e74060a157e6aaf,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,6a705b1d0bded7df22f1c4a5,add_to_cart,6a71c15a6066bd8f2f847d8b,,,,,549.91,pending,2026-08-10T11:09:58.589Z,0,6a71c15a6066bd8f2f847d8b,,,,Wirless earBuds,,,,1,,,,549.91,,,,6a79b1865e74060a157e6ab0,,,,
6a79b1865e74060a157e6ab4,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,,wishlist_viewed,,6a777916b31338dbaaaf79bf,6a71c0dc6066bd8f2f847d6f,,,0,pending,2026-08-10T11:09:58.611Z,0,,,,,,,,,,,,,,,,,,,,,
6a79b1865e74060a157e6abd,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,6a70a070faabc7ced4271957,cart_viewed,,,,,,16049.99,pending,2026-08-10T11:09:58.645Z,0,6a777a2bb31338dbaaaf7a30,6a777916b31338dbaaaf79bf,6a71c15a6066bd8f2f847d8b,,Dell Inspiron Laptop,Colorful Charger Protective Set,Wirless earBuds,,1,1,1,,15300,200.08,549.91,,6a79abfe8d280279a63e5f1f,6a79ac0f8d280279a63e5fdf,6a79b1835e74060a157e6a52,,
6a79b1895e74060a157e6ad6,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,6a70a070faabc7ced4271957,cart_viewed,,,,,,16049.99,pending,2026-08-10T11:10:01.572Z,0,6a777a2bb31338dbaaaf7a30,6a777916b31338dbaaaf79bf,6a71c15a6066bd8f2f847d8b,,Dell Inspiron Laptop,Colorful Charger Protective Set,Wirless earBuds,,1,1,1,,15300,200.08,549.91,,6a79abfe8d280279a63e5f1f,6a79ac0f8d280279a63e5fdf,6a79b1835e74060a157e6a52,,
6a79b18c5e74060a157e6ae8,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,6a70a070faabc7ced4271957,cart_viewed,,,,,,15849.91,pending,2026-08-10T11:10:04.707Z,0,6a777a2bb31338dbaaaf7a30,6a71c15a6066bd8f2f847d8b,,,Dell Inspiron Laptop,Wirless earBuds,,,1,1,,,15300,549.91,,,6a79abfe8d280279a63e5f1f,6a79b1835e74060a157e6a52,,,
6a79b18e5e74060a157e6af0,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,6a70a070faabc7ced4271957,checkout_started,,,,,,15849.91,pending,2026-08-10T11:10:06.209Z,0,6a777a2bb31338dbaaaf7a30,6a71c15a6066bd8f2f847d8b,,,Dell Inspiron Laptop,Wirless earBuds,,,1,1,,,15300,549.91,,,6a79abfe8d280279a63e5f1f,6a79b1835e74060a157e6a52,,,
6a79b1915e74060a157e6b2a,session_1786293764305_agj3v9c17,6a782dc1018c2b4d3ecac696,6a70a070faabc7ced4271957,checkout_started,,,,,,15849.91,pending,2026-08-10T11:10:09.512Z,0,6a777a2bb31338dbaaaf7a30,6a71c15a6066bd8f2f847d8b,,,Dell Inspiron Laptop,Wirless earBuds,,,1,1,,,15300,549.91,,,6a79abfe8d280279a63e5f1f,6a79b1835e74060a157e6a52,,,
